%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
34508000000,1021,34507000000,map,base_link,-1.64817292382e-05,5.93367608115e-05,-0.000255022288936,0.000153654282862,1.63842875476e-06,0.0192044405804,0.999815565917,35.0724879546,3.92107072212e-11,9.24758795414e-08,3.43406298837e-16,-4.95930094711e-15,8.72047824416e-07,3.92107071603e-11,35.072487953,6.17201526273e-06,4.32180139642e-15,-6.16613161149e-14,1.08912535462e-05,9.24758795414e-08,6.17201526273e-06,0.0408316833991,2.76699307645e-18,4.4215911841e-19,-1.67659013221e-12,3.43406298837e-16,4.32180139642e-15,2.76699307645e-18,2.60082728264e-07,-7.60198371319e-19,1.34275250416e-10,-4.95930094711e-15,-6.16613161149e-14,4.4215911841e-19,-7.60198371319e-19,2.60082728275e-07,-1.92564978202e-09,8.72047824416e-07,1.08912535462e-05,-1.67659013221e-12,1.34275250416e-10,-1.92564978202e-09,0.340142977246,2.44871488306e-07,1.32571617287e-05,-0.000101995225596,-0.00422620549334,0.00174938263378,0.00588250826949,0.00441608160109,0.0,0.0,0.0,0.0,0.0,0.0,0.00441608160109,0.0,0.0,0.0,0.0,0.0,0.0,0.00143206693961,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,2.56362645028e-23,2.58323840263e-20,0.0,0.0,0.0,2.56362645197e-23,2.32093527544e-05,3.04450023781e-18,0.0,0.0,0.0,2.58323840263e-20,3.04450023781e-18,2.32093527642e-05
34540000000,1022,34540000000,map,base_link,-1.60824652501e-05,5.97940389672e-05,-0.000257702168944,0.00015368462491,1.63378991005e-06,0.0192682422628,0.999814338374,35.1054902737,4.15009238789e-11,9.24656450143e-08,-6.7907998585e-15,-2.31649269303e-16,9.01634948422e-07,4.1500923818e-11,35.1054902722,6.17236340544e-06,-8.57605931249e-14,-2.34802885874e-15,1.1395778893e-05,9.24656450143e-08,6.17236340544e-06,0.0408658688435,1.21187272918e-17,-4.44767220084e-18,-1.69357764584e-12,-6.7907998585e-15,-8.57605931249e-14,1.21187272918e-17,2.60082728284e-07,5.27808694434e-19,-2.56357144139e-09,-2.31649269303e-16,-2.34802885874e-15,-4.44767220084e-18,5.27808694434e-19,2.60082728264e-07,-7.00971033031e-11,9.01634948422e-07,1.1395778893e-05,-1.69357764584e-12,-2.56357144139e-09,-7.00971033031e-11,0.340472315459,2.00942874506e-05,5.25064308939e-05,-0.00020492257507,-0.00411723266992,0.00961516812909,0.00183777197664,0.0109161482093,0.0,0.0,0.0,0.0,0.0,0.0,0.0109161482093,0.0,0.0,0.0,0.0,0.0,0.0,0.00273212091042,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,2.21579735974e-23,3.30099837723e-20,0.0,0.0,0.0,2.21579736287e-23,2.32093527544e-05,3.04012524276e-18,0.0,0.0,0.0,3.30099837723e-20,3.04012524276e-18,2.32093527642e-05
34575000000,1023,34573000000,map,base_link,-1.57358392197e-05,5.69048104605e-05,-0.000258495290946,0.00015369651919,1.62166969101e-06,0.0192915019191,0.999813889846,35.1384904838,7.67640977357e-11,9.2468282328e-08,-3.29644602005e-16,-1.13117556824e-14,1.92403877409e-06,7.67640976747e-11,35.1384904823,6.17228291919e-06,-1.93972279807e-15,-6.78721705573e-14,1.15812302208e-05,9.2468282328e-08,6.17228291919e-06,0.0408993435072,-1.09767907032e-17,-5.14157297328e-18,-1.69458561361e-12,-3.29644602005e-16,-1.93972279807e-15,-1.09767907032e-17,2.60082728264e-07,3.40724352105e-19,-5.81405040878e-11,-1.13117556824e-14,-6.78721705573e-14,-5.14157297328e-18,3.40724352105e-19,2.60082728276e-07,-1.99717357468e-09,1.92403877409e-06,1.15812302208e-05,-1.69458561361e-12,-5.81405040878e-11,-1.99717357468e-09,0.340800918249,2.05014933006e-05,-4.91576876947e-05,-0.000166988594114,-0.00156474768691,0.00243972081987,0.0109161855123,0.00741608036485,0.0,0.0,0.0,0.0,0.0,0.0,0.00741608036485,0.0,0.0,0.0,0.0,0.0,0.0,0.00203205234827,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,8.98032588172e-23,2.68341581899e-20,0.0,0.0,0.0,8.98032588003e-23,2.32093527544e-05,3.04573936278e-18,0.0,0.0,0.0,2.68341581899e-20,3.04573936278e-18,2.32093527642e-05
34608000000,1024,34607000000,map,base_link,-1.58486247624e-05,5.6386478932e-05,-0.00025883043194,0.000153701970849,1.70976335348e-06,0.0193905893855,0.999811973031,35.1724913528,1.03214518747e-10,9.24657886514e-08,-6.41701510153e-15,-1.12812985196e-14,2.68217073729e-06,1.03214518686e-10,35.1724913513,6.17234852768e-06,-2.78950603637e-14,-4.89939032067e-14,1.1669567291e-05,9.24657886515e-08,6.17234852768e-06,0.0409339977417,6.51771796625e-19,2.22158756906e-18,-1.74108995723e-12,-6.41701510153e-15,-2.78950603637e-14,6.51771796625e-19,2.60082728266e-07,3.42604771735e-18,-8.16043227202e-10,-1.12812985196e-14,-4.89939032067e-14,2.22158756906e-18,3.42604771735e-18,2.6008272827e-07,-1.43219064437e-09,2.68217073729e-06,1.1669567291e-05,-1.74108995723e-12,-8.16043227202e-10,-1.43219064437e-09,0.341140822677,-9.06460882049e-06,3.97587013191e-06,-9.28424262155e-05,-0.0133290051837,0.00608267517076,0.00296579725451,0.00441608200655,0.0,0.0,0.0,0.0,0.0,0.0,0.00441608200655,0.0,0.0,0.0,0.0,0.0,0.0,0.00143207108012,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,2.13265053535e-22,2.73692554933e-20,0.0,0.0,0.0,2.13265053333e-22,2.32093527544e-05,3.04421316723e-18,0.0,0.0,0.0,2.73692554933e-20,3.04421316723e-18,2.32093527642e-05
34641000000,1025,34640000000,map,base_link,-1.6200629861e-05,5.65617113093e-05,-0.000259379780127,0.000153671327469,1.73902073232e-06,0.0194421254536,0.999810972204,35.2054927015,9.56284489097e-11,9.24599458436e-08,-8.71524949355e-15,-1.64305988864e-14,2.5186657877e-06,9.56284488488e-11,35.2054926999,6.17253328609e-06,-3.93848922781e-14,-7.4137061728e-14,1.13991327787e-05,9.24599458436e-08,6.17253328609e-06,0.0409677426777,4.68790403974e-20,7.85433447553e-18,-1.73101019351e-12,-8.71524949355e-15,-3.93848922781e-14,4.68790403974e-20,2.60082728268e-07,7.68248325376e-18,-1.18127064078e-09,-1.64305988864e-14,-7.4137061728e-14,7.85433447553e-18,7.68248325376e-18,2.60082728279e-07,-2.22069925467e-09,2.5186657877e-06,1.13991327787e-05,-1.73101019351e-12,-1.18127064078e-09,-2.22069925467e-09,0.341468559851,-8.15765198167e-07,9.83474299819e-09,-6.10744456667e-05,-0.00187280083603,0.0117526046854,-0.00361494053356,0.000916080265015,0.0,0.0,0.0,0.0,0.0,0.0,0.000916080265015,0.0,0.0,0.0,0.0,0.0,0.0,0.000732055861975,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,4.64432562802e-22,2.81421644918e-20,0.0,0.0,0.0,4.64432562787e-22,2.32093527544e-05,3.04297154284e-18,0.0,0.0,0.0,2.81421644918e-20,3.04297154284e-18,2.31914108431e-05
34674000000,1026,34673000000,map,base_link,-1.72782478883e-05,5.57917594128e-05,-0.000263066927191,0.000153636709502,1.63308592227e-06,0.0194143938205,0.999811511089,35.2384938815,1.0303875265e-10,9.24583513336e-08,-1.30640512891e-14,1.16482658122e-14,2.84963281199e-06,1.03038752589e-10,35.23849388,6.17261725809e-06,-5.01983803927e-14,4.50169579719e-14,1.09630832473e-05,9.24583513336e-08,6.17261725809e-06,0.0410016568697,-5.41073191335e-18,8.59052209897e-18,-1.73436758645e-12,-1.30640512891e-14,-5.01983803927e-14,-5.41073191335e-18,2.60082728272e-07,-6.43337190747e-18,-1.56666088897e-09,1.16482658122e-14,4.50169579719e-14,8.59052209897e-18,-6.43337190747e-18,2.6008272827e-07,1.4035202404e-09,2.84963281199e-06,1.09630832473e-05,-1.73436758645e-12,-1.56666088897e-09,1.4035202404e-09,0.341796982445,-3.90835346729e-05,-2.88191530042e-05,-0.000242024957231,-0.00991351277908,0.00914928763186,-0.00100121914948,0.00741608036486,0.0,0.0,0.0,0.0,0.0,0.0,0.00741608036486,0.0,0.0,0.0,0.0,0.0,0.0,0.00203205234981,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,-2.97171997624e-22,3.06153560909e-20,0.0,0.0,0.0,-2.97171997591e-22,2.32093527544e-05,3.03533493585e-18,0.0,0.0,0.0,3.06153560909e-20,3.03533493585e-18,2.32093527643e-05
34707000000,1027,34707000000,map,base_link,-1.69602531869e-05,5.56186227598e-05,-0.000263629020038,0.000153595397623,1.64778769592e-06,0.0194159743058,0.999811480404,35.2724947505,1.05157097323e-10,9.2454497977e-08,-1.14232509271e-14,-2.56981900094e-14,2.92996760261e-06,1.05157097262e-10,35.272494749,6.17268086282e-06,-4.2500659429e-14,-9.55788024691e-14,1.09096176223e-05,9.2454497977e-08,6.17268086282e-06,0.0410363111037,9.0097287907e-19,-6.90470272037e-19,-1.70648213596e-12,-1.14232509271e-14,-4.2500659429e-14,9.0097287907e-19,2.6008272827e-07,1.16846419332e-17,-1.33373132018e-09,-2.56981900094e-14,-9.55788024691e-14,-6.90470272037e-19,1.16846419332e-17,2.60082728291e-07,-2.99730872428e-09,2.92996760261e-06,1.09096176223e-05,-1.70648213596e-12,-1.33373132018e-09,-2.99730872428e-09,0.342135076042,-8.34144923006e-07,1.51119449572e-06,-0.000135022115165,-0.00688131249212,0.00330835791911,0.0097528538432,0.00441608200655,0.0,0.0,0.0,0.0,0.0,0.0,0.00441608200655,0.0,0.0,0.0,0.0,0.0,0.0,0.00143207108013,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,6.65022133198e-22,3.00325999508e-20,0.0,0.0,0.0,6.65022133155e-22,2.32093527544e-05,3.04594781793e-18,0.0,0.0,0.0,3.00325999508e-20,3.04594781793e-18,2.32093527642e-05
34740000000,1028,34740000000,map,base_link,-1.75921836209e-05,5.57641245432e-05,-0.000267798924641,0.000153550530504,1.70052466883e-06,0.0195221531632,0.999809412816,35.3054970691,9.99483331696e-11,9.24445987489e-08,-7.57108891597e-15,-2.78882056571e-14,2.86030758266e-06,9.99483331087e-11,35.3054970676,6.17302971212e-06,-2.78544751109e-14,-1.02639344278e-13,1.05515845698e-05,9.24445987489e-08,6.17302971212e-06,0.0410704953362,5.92864064088e-18,7.50219867569e-18,-1.69712818381e-12,-7.57108891597e-15,-2.78544751109e-14,5.92864064088e-18,2.60082728267e-07,8.81426056614e-18,-9.06150741567e-10,-2.78882056571e-14,-1.02639344278e-13,7.50219867569e-18,8.81426056614e-18,2.60082728297e-07,-3.33109718108e-09,2.86030758266e-06,1.05515845698e-05,-1.69712818381e-12,-9.06150741567e-10,-3.33109718108e-09,0.342464038036,-3.34395528237e-05,2.91924437878e-05,-0.00029169722397,-0.00670601155507,0.00769192799292,0.00419368722936,0.0109161482121,0.0,0.0,0.0,0.0,0.0,0.0,0.0109161482121,0.0,0.0,0.0,0.0,0.0,0.0,0.00273212120769,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,5.65595033542e-22,2.82237624212e-20,0.0,0.0,0.0,5.6559503352e-22,2.32093527544e-05,3.0458317286e-18,0.0,0.0,0.0,2.82237624212e-20,3.0458317286e-18,2.32093527643e-05
34775000000,1029,34775000000,map,base_link,-1.57992300624e-05,5.66431224574e-05,-0.000267389542314,0.000153465658789,1.73120618511e-06,0.0195726551041,0.999808425458,35.3404975137,8.99287932222e-11,9.24463943366e-08,-1.53045480201e-14,-9.61400401374e-15,2.39604880272e-06,8.99287931613e-11,35.3404975122,6.17299011615e-06,-7.12723957912e-14,-4.46578374561e-14,1.11637051818e-05,9.24463943366e-08,6.17299011615e-06,0.0411060733459,5.7065340562e-18,-5.63663291883e-18,-1.69402635253e-12,-1.53045480201e-14,-7.12723957912e-14,5.7065340562e-18,2.60195368874e-07,8.75794146683e-18,-2.18939256164e-09,-9.61400401374e-15,-4.46578374561e-14,-5.63663291883e-18,8.75794146683e-18,2.60195368866e-07,-1.37122785497e-09,2.39604880272e-06,1.11637051818e-05,-1.69402635253e-12,-2.18939256164e-09,-1.37122785497e-09,0.342812898553,2.48724333315e-05,2.64322237346e-05,-0.000138913728225,-0.00801535710284,0.00802689765079,0.0105161908701,0.00841608084285,0.0,0.0,0.0,0.0,0.0,0.0,0.00841608084285,0.0,0.0,0.0,0.0,0.0,0.0,0.00223205283721,0.0,0.0,0.0,0.0,0.0,0.0,2.40358053292e-05,4.35335112027e-22,1.6720184655e-20,0.0,0.0,0.0,4.35335112068e-22,2.40358053292e-05,1.64487727709e-18,0.0,0.0,0.0,1.6720184655e-20,1.64487727709e-18,2.40358053346e-05
34808000000,1030,34807000000,map,base_link,-1.57147672221e-05,5.66118912175e-05,-0.000267759728029,0.000153512228214,1.71949047913e-06,0.0196502573279,0.999806903266,35.3724980966,8.64214036867e-11,9.244487388e-08,-7.67658894089e-15,-2.26806145381e-14,2.28023110006e-06,8.64214036258e-11,35.372498095,6.1730011799e-06,-3.76824737388e-14,-1.11295204824e-13,1.1203159734e-05,9.244487388e-08,6.1730011799e-06,0.0411386155934,-8.57812876991e-19,1.40769497982e-18,-1.68709958978e-12,-7.67658894089e-15,-3.76824737388e-14,-8.57812876991e-19,2.60082728268e-07,1.14737574083e-17,-1.15497866507e-09,-2.26806145381e-14,-1.11295204824e-13,1.40769497982e-18,1.14737574083e-17,2.60082728298e-07,-3.40862628863e-09,2.28023110006e-06,1.1203159734e-05,-1.68709958978e-12,-1.15497866507e-09,-3.40862628863e-09,0.343131679168,-7.60153282926e-06,-1.10164805805e-06,-0.000130436421637,0.00114504029227,0.00173690269838,0.003307939107,0.0044160816011,0.0,0.0,0.0,0.0,0.0,0.0,0.0044160816011,0.0,0.0,0.0,0.0,0.0,0.0,0.00143206693949,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,6.51654375397e-22,2.90754957475e-20,0.0,0.0,0.0,6.51654375426e-22,2.32093527544e-05,3.04551875359e-18,0.0,0.0,0.0,2.90754957475e-20,3.04551875359e-18,2.32093527643e-05
